epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4539.43,0.36117,0.4392,0.28914,0.79697,0.98857,0.97884,0.99333,0.95465,0.98857,0.97884,0.99333,0.94482,0.28638,0.28897,0.21975,0.77873,0.000703,0.000703,0.000703
77,4599.01,0.34994,0.43568,0.27426,0.79642,0.9946,0.97508,0.99069,0.96491,0.9946,0.97508,0.99069,0.92996,0.27041,0.28313,0.22357,0.77436,0.00069904,0.00069904,0.00069904
78,4658.71,0.35456,0.46963,0.28867,0.79097,0.98382,0.97884,0.99203,0.96888,0.98382,0.97884,0.99203,0.93467,0.2719,0.30208,0.21124,0.77836,0.00069508,0.00069508,0.00069508
79,4718.37,0.36362,0.45808,0.28768,0.79819,0.99462,0.97758,0.9929,0.95992,0.99462,0.97758,0.9929,0.9273,0.27285,0.2973,0.21146,0.77488,0.00069112,0.00069112,0.00069112
80,4777.48,0.3477,0.43689,0.27192,0.79538,0.99468,0.98884,0.99363,0.95845,0.99468,0.98884,0.99363,0.927,0.30048,0.29723,0.21264,0.77624,0.00068716,0.00068716,0.00068716
81,4836.97,0.35203,0.42993,0.27906,0.79445,0.99229,0.97354,0.99305,0.96184,0.99229,0.97354,0.99305,0.9371,0.28145,0.29911,0.21272,0.77373,0.0006832,0.0006832,0.0006832
82,4896.73,0.36077,0.45587,0.28656,0.79787,0.98393,0.97199,0.99093,0.96192,0.98393,0.97199,0.99093,0.93714,0.26577,0.29782,0.22846,0.77078,0.00067924,0.00067924,0.00067924
83,4956.02,0.3471,0.43064,0.28447,0.79575,0.98402,0.97742,0.99337,0.95688,0.98402,0.97742,0.99337,0.94177,0.29685,0.29414,0.21772,0.78236,0.00067528,0.00067528,0.00067528
84,5015.29,0.3507,0.43183,0.2968,0.80273,0.97882,0.97793,0.99247,0.96305,0.97882,0.97793,0.99247,0.94079,0.27956,0.29987,0.22169,0.77724,0.00067132,0.00067132,0.00067132
85,5075.21,0.34157,0.41164,0.27107,0.78883,0.98435,0.98413,0.99332,0.96535,0.98435,0.98413,0.99332,0.93439,0.27935,0.29343,0.20977,0.77579,0.00066736,0.00066736,0.00066736
